v,f0,f1,f2,f3,f4,ulx,uly,llx,lly,t1x,t1y,t2x,t2y,t3x,t3y,t4x,t4y,mnix,mniy,mnmx,mnmy
IY,110.639,323.489,1834.35,2160.9,3243.34,18196,16862,7116,-22184,-16657,2966,-26834,15755,-36934,23535,-51711,24796,-880,-9688,-43022,-4936
AA,99.3712,587.985,1453.6,1832.88,2777.59,18422,19608,5598,-27981,-22479,2107,-30246,14178,-39048,21078,-52953,19865,-1034,-11395,-42828,-6295
EH,104.019,553.321,1512.5,2074.23,3006.21,14648,17917,5239,-26364,-18670,4407,-29775,11959,-40040,17409,-53941,16302,-2230,-9138,-44595,-4100
IY,115.716,370.526,1348.63,2032.24,2973.99,15081,16682,10520,-18489,-14883,6102,-25111,16007,-34385,22797,-49694,20768,-1674,-8161,-44202,-3403
AH,112.672,522.942,1438.57,2300.47,2935.45,14037,15285,8252,-22167,-21130,-4930,-33611,3995,-43538,12228,-56744,16764,-1633,-8212,-44348,-3234
IY,104.135,281.96,2199.01,2680.96,3612.08,14006,20010,8351,-24083,-10130,-209,-20262,10829,-31504,21737,-48899,24799,351,-7180,-42250,-2991
IH,69.8001,350.479,2060.57,2527.82,3444.3,14627,18676,7159,-21004,-13173,3245,-23171,11634,-32815,20227,-47774,23179,-2138,-6620,-44877,-2412
EH,115.45,279.108,1393.52,2507.36,4005.38,14143,18825,8837,-20603,-12381,7176,-24751,9152,-34875,11779,-49600,17334,-916,-4115,-44077,-596
AH,107.109,319.856,1165.87,2367.6,3324.8,14377,19023,11620,-14693,-14432,4008,-26577,6766,-37826,9974,-51392,13657,-1344,-4884,-43939,-1348
AA,97.2817,621.272,1008.91,2140.78,3105.21,13858,16499,7030,-28439,-23300,-7540,-35915,-231,-46215,7866,-58008,14294,-2463,-13771,-44758,-7125
IH,55.2551,457.314,1473.8,2884.35,3647.57,13607,15358,9236,-18092,-12377,1209,-23471,8214,-34073,16354,-49180,21354,-2279,-6733,-45279,-2649
AO,100.622,629.899,954.017,2140.51,3162.22,16125,19705,8296,-26188,-19226,-3068,-32456,-2541,-44111,2253,-54881,11819,-2554,-12395,-44274,-6803
AH,93.3552,579.989,1269.07,2120.43,2802.98,16240,16063,8960,-21304,-25408,-9666,-35540,-230,-43999,10951,-58232,18881,-2419,-10380,-44733,-5222
EH,77.302,561.254,1662.95,2427.82,3666.58,13499,17451,5466,-24846,-12597,-2630,-25751,4132,-37411,10865,-51967,15803,-1952,-8417,-44301,-3487
IY,97.541,380.532,1695.3,2110.92,3170.7,18069,15381,9969,-19885,-20999,1500,-29902,13826,-39431,22171,-55114,25169,-1274,-10815,-43276,-5885
AA,92.9141,597.963,1275.37,1775.6,2853.59,17139,18910,8040,-26946,-22797,5650,-31427,16235,-41540,21187,-54393,16871,-1251,-12780,-43119,-7217
EH,100.143,265.123,1060.39,1682.56,2808.6,14556,18293,7143,-25122,-18594,-586,-27784,7876,-36856,15327,-50952,17049,-2129,-10844,-44405,-5645
IY,117.182,261.842,1208.73,2126.32,4197.93,16568,17268,11458,-19032,-14397,6635,-23747,15991,-32882,22418,-47921,21642,-1312,-10087,-43353,-4931
AH,104.069,261.924,1288.86,2456.77,4180.03,14134,14947,9877,-20499,-21886,-6769,-31847,2889,-41202,11321,-54667,16783,-1468,-9766,-43886,-4815
IY,98.9758,283.71,1957.11,2405.48,3323.42,14363,18577,8183,-23981,-9480,-447,-19530,10278,-29727,20811,-47667,24767,261,-7312,-42018,-3482
IH,75.618,358.037,2044.91,2523.03,3573.33,14317,18245,6816,-22455,-13499,1864,-23737,9478,-34405,17276,-49358,19609,-1939,-7310,-44253,-2979
AO,107.75,534.712,803.489,2196.21,2964.77,21028,18726,10624,-22027,-34235,-7523,-40038,5278,-47963,14197,-62005,19341,-1823,-11708,-42440,-6446
AO,97.7906,493.312,835.426,2012.06,2783.29,19669,18850,14893,-17798,-32167,-4290,-37115,7322,-43164,16667,-56196,22565,-436,-12751,-40099,-7175
AE,87.1636,642.139,1557.47,1970.19,2901.53,14980,17328,8442,-28182,-20806,-3518,-25842,11192,-33928,19402,-48563,20096,-2045,-15261,-43432,-8058
UX,112.518,300.807,1735.87,2260.96,3339.78,19762,15101,11267,-18142,-10417,-1430,-21112,10459,-31781,20491,-47712,23189,164,-7529,-40370,-3021
IH,108.424,449.114,1164.08,2202.47,3746.6,17992,15550,10068,-18998,-19815,8745,-33528,10836,-43215,16804,-56254,19198,-1649,-7418,-41930,-3236
AE,95.098,655.958,1798.64,2722.73,3281.23,12951,15903,3366,-31634,-12409,-8038,-23641,-2483,-33717,8637,-47343,13722,-939,-15691,-41202,-9281
AO,94.2394,705.568,736.42,2163.18,2940.56,20882,15516,11501,-20420,-29516,-9641,-35725,4411,-45332,14556,-59206,19481,-1561,-13948,-41890,-8502
EH,98.5997,501.196,1484.4,2729.77,3724.27,12971,17155,4847,-23945,-14129,2018,-25996,9049,-35670,14648,-50036,17457,-928,-6234,-42616,-2303
EH,96.0958,574.464,1823.38,2402.08,3886.12,13157,16795,4336,-26122,-11624,-3745,-25013,3183,-36389,9465,-50970,13500,-1149,-9155,-42391,-4536
AO,103.724,614.122,1032.66,2095.66,3256.1,15397,18261,8467,-23879,-18206,-4530,-33190,-666,-46206,8016,-58684,14948,-2080,-9212,-44083,-4295
IY,104.599,311.56,2266.57,2616.16,3461.5,15565,17077,7513,-20306,-9936,2961,-19780,10584,-29418,19311,-46202,23766,-716,-5687,-43423,-1790
IH,93.997,253.752,2291.21,3190.68,3704.43,16979,16683,6294,-22105,-12942,394,-20323,13207,-29621,22306,-47187,24924,-553,-6493,-43078,-2245
IY,100.442,349.328,1776.38,2198.91,2834.34,17711,14869,6817,-20612,-21476,2437,-27123,14241,-35093,21593,-49646,22863,-1463,-10018,-43142,-5242
IY,98.2628,430.751,2090.71,2668.53,3587.01,15054,17445,5205,-24962,-12424,4330,-22759,12840,-31257,21202,-46476,24582,-1671,-8924,-43492,-3874
IH,79.5525,492.785,1528.24,2653.99,2872.49,15136,18362,7588,-20986,-11977,3320,-24619,11114,-35429,18176,-50979,21082,-995,-5143,-43254,-1070
AA,91.2642,577.835,1225.27,1979.44,2802.01,15648,18940,6016,-28462,-24117,-3307,-34583,6523,-46417,8630,-58273,10980,20,-10029,-42756,-5025
IY,72.4807,470.703,1581.83,2305.41,3403.32,15722,19106,6703,-22502,-12593,-1970,-21586,7157,-30170,18768,-46021,24822,-1110,-8420,-43041,-3696
AH,92.4463,515.55,1171.42,2157.75,3328.09,16186,19156,6775,-23546,-17972,-6407,-28856,-1077,-37751,8586,-51425,17604,-1763,-9838,-43881,-4662
AH,100.074,497.044,1391.25,2078.35,2812.03,16047,16113,9338,-21726,-23771,-7628,-33356,2459,-42802,12971,-57279,19676,-1048,-8489,-43873,-3600
IH,80.9794,571.592,1751.95,3434.48,4134.94,15611,18797,7974,-19914,-11852,4532,-24052,12293,-34873,18242,-49932,20777,-524,-4867,-43046,-1315
UX,96.0598,283.996,1125.59,2395.14,3341.59,18911,16493,10657,-17977,-14158,-1950,-23323,9152,-33969,20241,-50368,25338,-882,-6807,-43233,-2632
IH,82.8995,359.798,1986.88,2387.48,3710.39,14145,16824,6341,-25445,-10831,-2681,-21975,4398,-32169,14745,-47290,19165,34,-8881,-41492,-4630
AO,101.682,585.212,974.897,2068.15,3245.72,15826,18433,9503,-22192,-18823,-4740,-33219,-852,-45007,7059,-56520,16028,-2084,-9247,-44436,-4137
IY,102.303,289.456,2291.8,2461.18,3449.61,15354,17481,7526,-20427,-11349,3732,-20811,11184,-30610,20048,-47624,24539,-616,-3841,-43198,-422
IH,95.0322,1284.5,2262.07,3178.65,3894.85,16084,17528,5937,-22577,-14409,3194,-21961,14465,-31215,22895,-48710,25166,-627,-4738,-42869,-1295
IY,95.1979,319.531,1906.82,2361.71,2947.21,16443,16486,10319,-18286,-20420,2355,-25919,14463,-34172,22348,-49659,24035,-370,-6725,-42050,-2969
IY,98.2705,458.813,1817.69,2496.61,3602.57,14949,17924,8206,-21380,-12420,6262,-22557,13713,-31254,21597,-46713,24558,-365,-5943,-42609,-2212
IH,78.9642,536.888,1202.26,2555.17,3652.11,14782,18779,7105,-21351,-14094,3481,-24980,10270,-34736,18581,-49957,23188,-1247,-4705,-43586,-1313
AA,85.5738,562.536,1311.95,1787.17,2946.9,16041,19086,9879,-23475,-26487,-1889,-34542,8437,-45880,12379,-58033,13351,-1399,-10270,-43480,-4696
IY,79.4844,523.981,1565.26,2325.9,3334.74,15566,18293,7603,-20761,-12751,-669,-21261,8334,-29091,18690,-46151,25052,-2321,-8045,-44166,-3533
AH,87.3455,338.62,1134.15,2323.86,3465.82,15492,18566,6666,-23800,-21289,-6819,-30843,544,-39175,10124,-54288,15438,-2985,-9571,-44503,-4473
AH,91.5319,253.084,1269.32,2394.08,3631.67,16148,15730,8931,-20846,-25333,-8468,-35131,1827,-44039,12878,-59352,18927,-985,-8494,-43417,-3780
IH,85.0871,244.108,1619.84,3356.1,4164.27,15648,18054,6226,-21317,-13846,7012,-25678,13106,-37088,18126,-52183,19609,-1055,-4858,-43588,-1027
UX,97.372,224.445,1173.69,2887.94,3893.41,18339,14339,10540,-17776,-14941,-2609,-23981,9353,-35353,21252,-51653,25995,-1548,-7003,-43271,-2824
AH,115.563,616.305,1424.98,2309.9,3178.3,14110,17283,6921,-29125,-25430,-7122,-37740,1092,-48430,7529,-60848,12740,322,-10149,-41292,-4440
AO,109.212,479.613,926.058,1884.6,2900.66,18982,17369,11966,-21525,-35245,-2357,-38931,10206,-46512,18443,-59252,21434,-1904,-14868,-42844,-7969
IY,111.973,280.792,1860.96,2343.46,3595.79,14447,16055,6334,-29100,-8241,-3203,-17882,6058,-28679,19930,-45747,23951,1429,-8542,-39138,-4625
AE,92.9642,715.089,1491.38,2299.49,3174.21,13277,17018,6036,-33660,-12172,-10721,-25665,-5293,-36846,5727,-48937,12279,-480,-18901,-40528,-11150
AO,106.136,508.763,1079.7,2154.14,3205.79,16413,19812,10820,-21654,-17202,-2997,-28872,3941,-41228,10242,-55599,16906,-1765,-9042,-43051,-3471
EH,99.0068,538.859,1553.17,1996.81,3403.67,16116,18211,7737,-21863,-17309,5823,-27291,13830,-37390,19581,-52635,17603,-1045,-7313,-42668,-2575
AE,88.3225,348.727,1507.98,2263.21,3643.87,14908,19270,6070,-22053,-13398,4878,-25471,9829,-36455,13984,-52037,16829,-660,-4289,-42604,-423
AE,87.8262,612.425,1711.98,2421.98,3005.1,13729,17286,4683,-27694,-14535,-4662,-24533,2661,-33079,12292,-47689,17818,-1273,-11128,-43050,-4833
AO,97.9033,615.872,931.978,2204.61,3325.47,17128,20133,8441,-25196,-19763,-4975,-34389,-2991,-45437,3678,-56095,13305,-2539,-12596,-44130,-6088
EH,77.715,567.892,1663.99,2377.83,3684.77,13330,16841,5055,-23472,-11358,-1997,-25510,2786,-37287,9823,-53363,15320,-1678,-7371,-43551,-2548
IY,66.0937,442.323,1805.6,2405.21,3409.1,14867,18555,8275,-22121,-12331,1241,-22925,9572,-30677,19476,-45927,23504,-1357,-7544,-43010,-2754
AH,92.3244,427.101,1227.59,2287.41,3303.93,15775,19321,5714,-26738,-16154,-2797,-27811,888,-36168,8817,-49240,15234,-2142,-8725,-43752,-3652
AH,99.5029,347.863,1313,2692.45,3666.11,17084,16590,7451,-23294,-24791,-7599,-34916,2630,-43631,13004,-57832,19611,-1628,-8872,-43663,-3721
IH,81.2681,295.26,1751.16,2750.36,3552.44,17695,20102,5021,-23421,-13610,5431,-26505,11969,-36959,17386,-51852,18961,-1027,-5003,-43488,-1027
UX,100.467,253.078,973.864,2291.24,3242.62,20550,17270,9610,-19887,-15719,-1024,-26024,11964,-36709,21825,-52576,25099,-1604,-7934,-43650,-2973
IH,87.8349,377.461,1933.39,2387.97,3604.11,14301,17537,5320,-26737,-10875,-1680,-23170,5288,-33971,14989,-49398,18078,-1386,-8777,-43397,-3726
AO,105.62,503.747,1114.93,2212.33,3260.88,16019,19634,12393,-19986,-15750,-2956,-28642,1015,-40518,6391,-53009,14010,-1932,-11211,-43861,-5112
EH,98.1383,419.852,1496.41,2178.26,3654.64,14985,18648,8829,-23042,-16408,2839,-25715,10639,-35822,17441,-51627,19152,-1632,-8306,-43664,-3076
AE,86.7796,386.656,1770.36,2264.08,3862.88,13563,18183,5456,-23599,-16021,2536,-26291,9318,-35380,16042,-50840,19457,-1832,-6799,-43693,-2261
AE,88.797,577.04,1765.83,2682.77,3495.18,13345,17205,5822,-26756,-16354,-3951,-25707,4067,-33606,12408,-47466,17182,-1093,-11665,-42819,-5763
EH,106.724,394.175,1495.03,2143.64,4074.29,14537,17868,5610,-21911,-12627,2504,-25318,7737,-35859,12255,-50143,14440,-1242,-6111,-42693,-1503
AO,95.3983,515.921,894.321,2501.77,3128.83,16717,21027,8608,-26484,-21597,-10064,-35196,-3827,-46228,2794,-57941,11406,-1645,-13597,-42692,-7136
AE,81.8028,637.769,1466.57,2223.66,2917.56,16780,17601,9027,-26352,-20636,4020,-29225,13626,-39356,19034,-52854,18252,-2029,-13520,-42985,-7053
AA,93.4327,672.781,1151.91,2183.59,3208.59,14186,17757,7403,-31341,-21111,-8146,-33603,-1264,-44210,6636,-54790,14041,-1385,-16067,-42273,-9078
IY,95.5664,281.768,2174.44,2560.45,3553.51,15986,18538,4647,-23187,-10891,23,-19970,9774,-30252,21363,-46730,24526,-1896,-7939,-43199,-3205
AH,97.1343,611.044,1290.12,2191.29,3486.4,15939,18703,4144,-27751,-20841,-7657,-32889,-141,-41857,9988,-55029,17002,-2363,-10387,-43751,-5035
AH,100.89,562.994,1251.17,2391.84,3141.48,14964,16769,7320,-23509,-24717,-6213,-35418,3507,-45299,13011,-59800,18157,-1611,-8170,-43564,-3330
IH,83.3179,287.342,1798.05,2458.55,3836.6,15200,19073,6060,-19791,-11616,5039,-23407,12507,-33303,19917,-48489,21335,-624,-5053,-43135,-1362
UX,98.6981,271.95,1241.04,2330.37,3449.49,18438,12472,8849,-18546,-13989,-2043,-23493,10048,-34089,20843,-50195,24948,-1517,-7466,-43857,-3028
IH,84.9392,422.175,1891.34,2458.37,3589.58,14369,17080,5004,-25662,-11099,-1087,-22832,6593,-33382,16395,-48835,18993,-963,-8147,-42456,-3512
AO,93.7565,552.184,804.189,2128.26,3261.24,15069,18334,11825,-17946,-16331,-921,-31395,31,-45352,5898,-56712,14594,-2437,-9135,-44374,-4011
IY,100.898,338.854,2167.31,2705.71,3397.63,15323,16676,6711,-19317,-7927,3450,-18833,10842,-30306,19945,-48146,23238,-839,-5545,-43520,-1556
IH,98.9658,292.059,2352.59,2421.24,3538.21,15398,17375,7015,-20661,-12629,1769,-21486,13174,-30937,22839,-48929,25031,-896,-4889,-43349,-966
IY,92.7055,311.714,2026.63,2290.64,3103.12,16263,17383,12008,-17047,-19082,4217,-26503,16476,-35797,23411,-51273,22143,-419,-6797,-42112,-2531
IY,91.9333,511.109,1751.86,2548.53,3517.99,14609,18216,8642,-22657,-12456,139,-22450,12086,-32002,21950,-47965,24800,184,-5784,-42031,-1840
IH,82.6591,242.477,1337.35,2152.38,3678.85,14693,18613,8904,-21254,-13034,3807,-24947,9937,-34562,17238,-49581,19380,-942,-6051,-43319,-1674
AA,85.7073,559.742,1224.52,1750.83,2910.07,15921,19110,9759,-23569,-26608,855,-36037,10289,-47859,12597,-59666,12376,-909,-9273,-42847,-4204
IY,66.7954,297.703,2017.29,2880.68,3690.25,15297,19031,10029,-24858,-10576,-2411,-19039,7108,-29030,19933,-45976,24452,103,-8656,-41407,-4002
AH,95.5488,493.109,1133.84,2238.88,3413.71,15118,18690,8358,-24966,-18888,-3624,-30985,819,-42054,8278,-55143,13888,-1882,-8788,-43701,-3779
AH,99.9621,547.612,1327.6,2016.89,2948.79,15410,17322,10203,-21495,-23597,-7061,-34890,3908,-45965,13528,-60006,18627,-687,-7694,-42793,-2938
IH,84.3498,280.883,1651.92,2443.17,3669.36,14854,19121,10641,-20127,-9933,2449,-22099,10808,-33096,19836,-49550,22624,-367,-4933,-42739,-1133
UX,94.2559,272.684,985.126,2300.9,3448.98,17701,16831,14941,-14993,-14162,-2472,-23602,8812,-34971,20595,-51471,25382,-264,-6240,-42399,-2565
IH,85.6528,386.447,1912.28,2353.99,3621.13,14141,17591,8618,-23868,-10826,-694,-22619,6528,-33602,16077,-49315,19355,-599,-7767,-42673,-3399
AO,90.9221,539.032,907.104,2151.66,3195.1,15208,18362,11552,-18861,-13696,-296,-30229,1,-43498,4856,-54907,13986,-2602,-9543,-44497,-4358
IY,102.88,385.388,2080.2,2446.04,3162.96,15230,18204,10558,-19021,-7681,3874,-19895,8490,-29728,16053,-45329,22263,-574,-5249,-43096,-1315
IH,94.8965,281.282,1964.11,2651.3,3648.98,15089,18704,11410,-20299,-12797,3721,-21500,12985,-29680,21436,-45301,24486,831,-4959,-41358,-1762
IY,91.1923,221.997,1842.73,2341.27,3912.97,15675,17358,12078,-16915,-17779,3808,-24088,15376,-31857,23017,-47054,24204,138,-7179,-41713,-3291
IY,92.9748,230.301,1541,2345,3510.8,14969,17976,8839,-23180,-12970,2611,-22595,12959,-31222,21381,-46280,24379,-47,-6581,-42226,-2779
IH,75.3585,554.221,1316.73,2497.63,3634.46,14277,17962,8714,-21249,-12637,2999,-24331,9189,-34065,16743,-48537,20437,-1241,-6499,-43448,-2408
AA,83.0861,619.401,1234.08,1866.23,2810.81,15130,18598,9527,-24911,-22956,-2667,-32854,5464,-44329,8619,-56766,11697,-1476,-11068,-43450,-5304
EH,99.9032,488.199,1290.79,2188.6,2742.45,18094,15431,9531,-20399,-24856,-4989,-34928,6421,-44656,17386,-60733,22324,-2672,-9652,-44597,-3700
AO,114.403,644.857,1021.37,2143.92,3373.91,17761,20356,7500,-28594,-16314,-4496,-32491,-352,-46296,6916,-58965,13785,-1911,-12218,-44919,-5061
EH,113.701,550.038,1084.55,2323.22,3431.8,14774,18248,7503,-23795,-12027,1200,-25701,4520,-38817,9310,-53354,15256,-1746,-7737,-44609,-2025
UX,102.134,289.397,1487.41,2349.99,3201.64,17559,18631,14240,-16400,-12193,400,-24222,11981,-35657,20795,-51233,24194,-369,-5579,-42371,-912
AO,93.3478,471.847,882.581,1866.9,2794.39,19642,19242,13445,-19805,-32656,-4927,-38687,9568,-47927,18090,-61783,22762,-1564,-11564,-43049,-5217
AO,102.742,573.203,906.546,2093.58,3207.94,15333,19108,11008,-19472,-18524,-2148,-34771,-177,-48471,7634,-62177,15056,-1449,-7131,-43596,-1751
IY,105.953,293.502,2135.74,2700.98,3299.47,14889,18857,9348,-20800,-9543,4867,-19868,11205,-30183,19149,-47011,23441,-385,-4274,-42551,157
IH,101.211,249.651,2319.81,3388.44,3987.95,15116,19310,9288,-21210,-14140,8088,-23156,16388,-32356,23490,-49382,25350,-274,-4448,-42473,249
IY,97.7692,312.814,1997.58,2395.74,2911.61,15407,17729,9428,-20830,-20519,5316,-27868,17396,-37488,23417,-54384,22281,-935,-7201,-43066,-1968
IY,96.5019,404.009,1786.93,2552.14,3478.3,14718,18698,8704,-22224,-11225,3311,-21896,13452,-32047,22213,-49314,25154,-642,-5715,-42860,-629
IH,78.9237,386.448,1306.16,2466.69,3575.16,14704,18662,8453,-22211,-13854,3807,-25633,10656,-35881,17789,-51329,20708,-1503,-5684,-43701,-440
AA,89.14,583.619,1313.21,1903.62,2980.36,15304,18971,10720,-24129,-27439,-623,-35113,9284,-46862,11633,-58919,11616,-817,-10570,-43105,-4419
IH,108.189,322.394,2227.02,2562.36,3524.03,14539,19116,7880,-24285,-11253,-255,-21873,7234,-33102,17587,-48819,22079,-414,-6768,-41935,-2075
IH,99.0098,418.133,1370.22,2037.04,2507.21,16270,20065,9242,-23286,-11723,3162,-23712,8717,-34701,16357,-50543,20146,-620,-6909,-42749,-1804
EH,100.669,251.687,1371.06,2361.93,3756.73,13510,17531,9688,-20626,-7846,4988,-22876,7363,-34798,12596,-50691,17299,-350,-5062,-42140,-457
AH,73.3855,205.449,1019.82,2061.19,4238.13,14068,17405,12518,-15486,-12714,-2818,-26218,5283,-38797,9406,-53442,14513,-879,-6352,-42843,-1699
AO,84.6812,456.576,1095.53,1777.08,2724.26,19527,16951,14127,-18650,-35121,-2195,-40489,12566,-49886,20527,-65260,22601,-909,-11501,-42338,-5412
UX,98.7066,278.459,1468.22,2190.28,3331.26,15383,18642,13463,-17557,-9060,-214,-19797,10509,-29959,20861,-46281,24371,-92,-7437,-41975,-2467
AH,120.815,583.955,1341.11,2345.01,3326.65,14219,17725,7548,-24976,-18402,-4680,-33518,1476,-44959,8206,-58135,13316,-829,-7245,-43272,-2220
EH,107.427,547.851,1548.19,2741.4,3690.46,14277,17640,5938,-25652,-15635,528,-26641,7244,-37976,12176,-52857,15173,-1311,-6494,-44120,-1689
IH,88.5459,273.781,1503.72,2410.3,3213.11,16789,21617,11338,-18247,-19889,13506,-29382,19369,-41119,21196,-53878,12146,-814,-5733,-43491,-1096
IH,101.399,388.622,2174.17,2534.76,3360.37,14743,19494,7212,-24867,-12472,1959,-23130,9056,-31971,18278,-48915,21707,-1926,-6510,-44262,-1730
UX,86.9769,233.539,1210.57,2058.27,2867.65,14516,15470,11064,-18794,-16331,5217,-26939,10184,-37363,15009,-51305,17600,-1721,-6465,-44324,-1300
EH,94.3966,576.212,1473.67,2185.2,2737,13877,15783,7568,-23527,-19218,-1036,-29592,7714,-40439,12920,-54283,15003,-1180,-7389,-43698,-2647
AE,78.8007,745.059,1552.7,2410.08,3859.64,12812,18386,3016,-29992,-16520,-5979,-28777,212,-39914,8665,-53067,14625,-1859,-12448,-44291,-5947
IH,100.564,265.571,1562.52,2537.24,4397.11,15093,18821,6305,-25463,-11993,3029,-24936,12829,-36516,19897,-51618,20844,-854,-5666,-43697,-1203
IY,97.0407,310.408,1945.22,2454.74,3547.26,16709,17610,9008,-20072,-16126,-3722,-24182,8413,-34710,20288,-51915,25616,-1797,-5187,-43983,-972
AE,74.6569,212.712,1384.73,2669.26,3797.88,14605,18546,6793,-24690,-12119,3857,-24678,8902,-35680,14360,-49851,18574,-1447,-4696,-44174,-281
UX,87.7514,348.327,724.033,2311.24,3008.68,19415,17964,12600,-18771,-22101,-7312,-30633,3617,-39731,13836,-56256,23099,-768,-6614,-43220,-1941
AE,98.57,621.252,1403.95,2267.09,3652.37,13833,17882,5313,-25124,-14605,-3282,-27478,4358,-38904,13323,-52538,17875,-1590,-8528,-44112,-3388
IY,99.1979,314.564,1802.15,2361.8,3031.49,14598,14750,11717,-15574,-12149,1855,-21924,11415,-31602,20096,-48752,24773,-441,-5359,-42850,-1198
UX,90.2473,376.443,1202.15,2461.79,4101.66,14675,17538,7555,-21880,-13668,6496,-23934,13586,-33700,21667,-49825,24419,-823,-5799,-43109,-1511
AE,93.4431,400.306,1420.29,1739.26,3062.14,16113,15318,7235,-20726,-22163,840,-27380,13585,-36672,20734,-52261,20761,-2300,-9060,-44549,-3207
IY,90.8212,337.691,1768.25,2311.5,3476.66,15615,15322,9730,-17914,-17210,-3985,-22766,10974,-31129,20386,-47714,23808,-1575,-8198,-43819,-2876
AE,86.2672,275.881,1540.35,2251.77,3394.95,15719,15685,8377,-19586,-14569,4661,-24005,12482,-32489,20195,-47867,22243,-1480,-7573,-43749,-2552
IY,93.0445,314.273,937.193,1833.93,2893.55,15865,17139,7451,-22823,-15579,5264,-24849,14634,-34697,20542,-49700,23588,-1784,-5633,-44578,-1120
AE,87.6661,622.953,1542.1,2102.23,3191.66,14125,17136,5368,-28878,-17809,-5396,-28265,4669,-39108,12050,-53688,15009,-1480,-13448,-43424,-7076
AE,77.2184,589.605,1487.4,2315.49,3879.38,13677,16668,2287,-28954,-12913,-3279,-24761,3215,-36800,9990,-50418,15561,-2866,-11707,-45027,-5163
AO,112.554,637.063,1045.12,2170.26,3283.96,16340,19196,9348,-23750,-20692,-2435,-33784,892,-45608,8545,-57413,15865,-2987,-9682,-45863,-3463
IY,112.763,413.938,2148.69,2628.9,3556.3,15368,18559,9002,-20723,-10367,4261,-19976,11931,-29890,20698,-46381,24549,-1253,-4534,-44675,-279
IH,97.7612,251.338,2372.05,3335.51,3883.99,16106,18996,7972,-22238,-13247,2781,-21439,13570,-31125,22557,-47902,25089,-1515,-4887,-44645,-619
IY,103.768,317.101,1934.72,2221.25,3063.1,17612,14228,7274,-21503,-21945,5402,-27230,16626,-36924,23179,-52797,22026,-3255,-8800,-46559,-3416
IY,102.335,459.918,1999.89,2489.68,3648,15361,18157,6978,-23270,-10914,4361,-21592,12979,-31749,21954,-48629,24886,-1709,-6841,-45051,-1636
IH,67.8318,529.902,1576.44,2639.27,3718.76,14964,18704,7507,-22188,-12211,3093,-23784,10658,-35154,17650,-51339,20742,-1435,-5060,-44371,-1084
AA,95.1707,621.19,1197.7,1908.56,2899.77,16201,19052,7789,-27197,-24253,-1719,-33800,6668,-45680,8555,-58022,9093,-2844,-11600,-45861,-5595
IY,90.0965,375.802,2064.14,2349.78,3417.52,16818,19376,7747,-23841,-12295,171,-21821,9776,-31150,21241,-47952,25081,-1898,-7629,-45020,-2968
AH,97.5054,586.083,1215.07,2253.72,3372.35,17304,19715,6732,-26270,-18408,-5110,-29249,-100,-38712,9413,-52830,17352,-2870,-9700,-45771,-4292
AH,104.629,549.592,1317.42,2127.12,2831,16938,16480,10724,-20949,-25276,-8097,-35361,2739,-44621,14198,-59183,20113,-1411,-8907,-44955,-3683
IH,82.6117,281.618,1689.1,3107.13,3612.85,16734,19277,8768,-20942,-12335,4441,-25622,10984,-37471,16893,-52644,18269,-804,-5381,-44387,-1497
UX,109.366,234.779,1066.95,2344.15,3303.64,18968,15994,11477,-18856,-15155,-2405,-25157,10699,-36852,21797,-53228,25481,-2056,-7321,-45295,-2335
IH,93.8206,456.662,1787.69,2438.01,3449.05,14150,16381,7951,-22491,-12061,-1433,-23924,5134,-35439,13699,-50461,16563,-1879,-8895,-44693,-3916
AO,108.789,598.525,965.784,2050.06,3358.01,15398,17828,10834,-20503,-19373,-2978,-33897,836,-46554,8892,-59471,15882,-2111,-7884,-45038,-2673
IY,110.634,273.378,2220.13,2522.79,3530.89,15053,18271,9666,-19955,-9635,4351,-20284,12675,-30574,20641,-47323,24894,-759,-3962,-44150,-50
IH,106.327,270.619,1210.36,2354.23,3904.63,15161,19185,9439,-20745,-13157,6237,-22512,15861,-31717,23676,-48268,25650,-763,-3921,-43819,-191
IY,101.818,246.794,1838.9,2358.13,2756.95,14967,16643,10310,-19381,-22436,6714,-30120,17738,-39544,23889,-54650,21455,-840,-7017,-42871,-2928
IY,103,491.198,1805.17,2540.92,3594.29,14514,18461,9249,-21808,-12853,6729,-23970,14956,-33591,22911,-50094,24695,-415,-5965,-43085,-1827
IH,0,369.057,1428.31,2695.87,3720.09,14337,18722,8866,-22098,-11278,-18,-23294,9521,-33986,16586,-50385,21089,-1326,-5534,-44305,-1470
AA,90.9822,613.975,1228.04,1986.99,2924.35,15233,18338,8581,-25429,-22933,-2168,-33702,5435,-45412,7453,-58136,10460,-2340,-10350,-45199,-4728
IY,89.9334,537.378,1479.38,2400.9,3273.86,15472,19043,8342,-23405,-12209,-205,-21800,10851,-30852,20838,-47446,25343,-1833,-7988,-44253,-2878
AH,91.4814,544.171,1206.33,2335.64,3439.13,15899,19384,7756,-25633,-21401,-6802,-31734,1938,-40065,11188,-54181,18199,-2346,-9523,-44692,-3859
AH,101.809,248.61,1348.26,2397.12,3682.02,16072,17051,12427,-19574,-24951,-7612,-34859,3458,-44422,13625,-59351,18879,-665,-9085,-43572,-3550
IH,85.7414,296.212,1725.93,3415.5,4234.8,15509,18805,9261,-21610,-12391,4098,-25461,11662,-38208,17819,-54081,18173,-705,-5452,-43854,-938
