v,f0,f1,f2,f3,f4,ulx,uly,llx,lly,t1x,t1y,t2x,t2y,t3x,t3y,t4x,t4y,mnix,mniy,mnmx,mnmy
EH,92.837,556.297,1940.54,2546.07,3530.27,14199,18201,10647,-22980,-9611,-3221,-21125,3236,-31273,13845,-45509,19640,256,-10005,-41406,-5888
UW,96.7265,595.312,1389.07,2517.68,3309.62,15450,17389,10568,-17214,-11243,-2024,-24875,881,-37102,7393,-50612,16119,-265,-8625,-42087,-4679
AE,86.7701,790.676,1681.2,2482.48,3533.12,14202,18090,7918,-26707,-11755,-7579,-24974,-1862,-36963,8183,-50060,13231,-1845,-14844,-43113,-8828
IY,118.467,234.195,2199.67,2927.03,3698.92,14746,19440,12179,-20191,-7466,161,-18463,9697,-29692,21677,-47607,23853,1518,-6171,-40604,-2887
UX,117.379,328.767,1177.99,2299.76,3457.57,17319,15939,11402,-16562,-14495,-4635,-25441,5091,-35829,18297,-52777,23858,166,-6117,-42179,-2314
IY,109.517,293.701,2201.07,2777.85,3634.63,14068,18454,9016,-22164,-9832,-579,-20766,10956,-32056,21916,-49823,23835,-1026,-6923,-43665,-3039
AA,100.435,751.302,1282.22,2151.56,3217.71,14119,18062,8654,-27671,-17684,-10648,-32951,-3972,-43242,5664,-56029,11947,-1049,-13767,-42542,-7880
UX,116.603,305.412,795.286,2347.61,3377.74,17406,14729,13139,-15600,-22728,-7518,-30613,8624,-44442,20858,-63081,23705,246,-8904,-41608,-5000
AA,102.5,737.731,1226.88,2115.71,3047.61,14369,17591,8351,-29875,-21715,-13357,-36610,-4232,-46915,5688,-59081,11798,-1322,-15896,-42297,-9701
UX,100.416,282.097,811.197,2444.77,3339.86,17850,15511,14762,-15659,-21703,-8206,-29988,7365,-43144,19702,-61739,23543,1067,-7998,-41232,-3966
AA,94.647,723.475,1377.88,2203.04,4026.08,13731,17646,11481,-28293,-15692,-12891,-31960,-7592,-42475,1051,-52618,9814,1893,-16781,-39039,-10718
IY,107.563,286.273,2241.39,2799.17,3606.99,13890,18180,13136,-21667,-7440,-3698,-18024,7502,-29858,20414,-46796,24123,3410,-7685,-38797,-4802
UX,106.422,277.868,826.346,2424.44,3386.45,17987,16001,14554,-14656,-20446,-7948,-28479,6731,-41521,20347,-60725,24326,1731,-7841,-40485,-4309
IY,97.8404,344.971,2207.7,2627.01,3629.94,15029,17683,11887,-21474,-8081,-2924,-19179,7395,-31105,20123,-48238,24410,1990,-7766,-40206,-4565
AH,101.131,621.349,1230.96,2202.41,3106.21,14428,18619,10571,-25474,-18769,-9819,-33154,-336,-44914,8704,-57587,14179,-1197,-13639,-42285,-6690
AA,96.7014,699.418,1213.24,2105.14,3073.45,14309,18235,10896,-26561,-20489,-11615,-35434,-2827,-45930,6290,-57578,12695,412,-15242,-41089,-8231
AH,88.2125,593.365,1247.89,2086.63,3225.24,14356,17998,10553,-25759,-22702,-9725,-34645,2578,-47532,13858,-61964,17926,-310,-12749,-41636,-6367
AA,93.0838,713.269,1256.83,2129.64,3230.56,14566,18315,10628,-28196,-17346,-12309,-32132,-3890,-43434,6850,-55799,13757,571,-15702,-40798,-8579
AH,90.9646,546.798,1241.37,2036.33,2914.97,15215,17199,13663,-19893,-17630,-8971,-29528,-1737,-40930,5612,-55813,11762,-399,-15749,-41516,-8773
